Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[73_ 161_ 219_ 227_ 398_ 422_ 462_ 486_ 490_ 816_ 871],2.6871,BPSO with MLR,11,0.4285,0.6089,0.4881,1.2445,1.0212,0.5352
[16_ 36_ 76_ 129_ 138_ 240_ 295_ 341_ 351_ 388_ 472_ 474_ 523_ 553_ 615_ 852],3.7138,BPSO with MLR,16,0.4432,0.6088,0.492,1.2398,0.966,0.6197
[5_ 15_ 127_ 136_ 169_ 200_ 308_ 341_ 351_ 370_ 403_ 416_ 421_ 430_ 470_ 478_ 501_ 680_ 694_ 839],4.4751,BPSO with MLR,20,0.528,0.6086,0.5256,1.1981,0.9591,0.5915
[15_ 178_ 211_ 336_ 350_ 371_ 386_ 388_ 425_ 430_ 444_ 542_ 562_ 699],3.3049,BPSO with MLR,14,0.4345,0.6085,0.548,1.1694,0.9119,0.6197
[54_ 73_ 240_ 324_ 325_ 450_ 484_ 869],2.1025,BPSO with MLR,8,0.3831,0.6084,0.4569,1.2819,1.0095,0.6338
[1_ 30_ 31_ 100_ 121_ 140_ 296_ 400_ 421_ 423_ 432_ 564_ 703_ 867_ 872_ 908],3.5985,BPSO with MLR,16,0.575,0.6084,0.5175,1.2083,0.9688,0.6197
[78_ 98_ 109_ 160_ 177_ 179_ 181_ 231_ 333_ 481_ 676_ 703],2.9016,BPSO with MLR,12,0.42,0.6083,0.2681,1.4882,1.0956,0.5775
[16_ 46_ 58_ 124_ 155_ 186_ 224_ 288_ 341_ 357_ 368_ 438_ 493_ 558_ 694_ 869],3.7231,BPSO with MLR,16,0.4324,0.608,0.4968,1.2339,0.9781,0.662
[93_ 117_ 120_ 132_ 145_ 166_ 184_ 191_ 278_ 289_ 332_ 391_ 690],3.0655,BPSO with MLR,13,0.4728,0.6079,0.5281,1.1949,0.9967,0.5915
[43_ 80_ 95_ 97_ 98_ 157_ 218_ 319_ 413_ 519_ 530_ 541_ 676],3.0373,BPSO with MLR,13,0.5059,0.6078,0.4282,1.3154,1.0779,0.4648
[4_ 16_ 61_ 126_ 220_ 222_ 489_ 507_ 511],2.272,BPSO with MLR,9,0.4304,0.6077,0.5498,1.1671,0.9611,0.6197
[5_ 70_ 97_ 116_ 171_ 221_ 351_ 383_ 387_ 465_ 553_ 557_ 566_ 907],3.2825,BPSO with MLR,14,0.462,0.6075,0.4351,1.3073,1.0442,0.5775
[54_ 80_ 165_ 180_ 206_ 229_ 252_ 253_ 318_ 330_ 362_ 426_ 430_ 446_ 458_ 493_ 496_ 497_ 880],4.2587,BPSO with MLR,19,0.537,0.6074,0.5508,1.1659,0.9133,0.5634
[35_ 63_ 74_ 105_ 160_ 172_ 179_ 281_ 415_ 422_ 445_ 515_ 559_ 871],3.2894,BPSO with MLR,14,0.4539,0.6073,0.5535,1.1624,0.9759,0.5493
[55_ 80_ 87_ 97_ 98_ 141_ 164_ 189_ 276_ 331_ 332_ 446_ 450_ 511_ 530_ 535],3.6616,BPSO with MLR,16,0.5052,0.6073,0.4727,1.2631,1.0033,0.5493
[4_ 188_ 252_ 271_ 289_ 341_ 375_ 393_ 435_ 436_ 649],2.6677,BPSO with MLR,11,0.453,0.6072,0.4713,1.2648,1.0225,0.507
[48_ 123_ 165_ 168_ 178_ 179_ 227_ 260_ 278_ 328_ 374_ 419_ 509_ 570_ 681],3.4019,BPSO with MLR,15,0.5635,0.6072,0.4473,1.2932,1.0238,0.5775
[98_ 209_ 245_ 260_ 295_ 337_ 387_ 390_ 402_ 470_ 520_ 536_ 559_ 565_ 880_ 928],3.6886,BPSO with MLR,16,0.474,0.607,0.5226,1.2019,0.9115,0.5915
[100_ 106_ 279_ 400_ 425_ 434_ 872],1.8025,BPSO with MLR,7,0.4991,0.6068,0.5534,1.1624,0.9185,0.5775
[3_ 36_ 58_ 241_ 308_ 314_ 425_ 521_ 541_ 938],2.4773,BPSO with MLR,10,0.4329,0.6067,0.4336,1.3091,1.0738,0.507
[58_ 120_ 143_ 178_ 224_ 364_ 404_ 408_ 436_ 497_ 542_ 556],2.8431,BPSO with MLR,12,0.4913,0.6067,0.5202,1.2048,0.9827,0.5634
[54_ 56_ 75_ 110_ 122_ 127_ 263_ 336_ 348_ 377_ 570_ 693],2.9172,BPSO with MLR,12,0.4015,0.6067,0.4774,1.2574,1.001,0.5775
[15_ 30_ 42_ 43_ 144_ 157_ 192_ 226_ 254_ 256_ 298_ 317_ 325_ 348_ 359_ 374_ 438_ 565_ 937],4.2219,BPSO with MLR,19,0.5776,0.6067,0.6074,1.0899,0.8747,0.6056
[61_ 93_ 100_ 159_ 174_ 281_ 287_ 425_ 451_ 458_ 681_ 880_ 941],3.0783,BPSO with MLR,13,0.4584,0.6066,0.5321,1.1898,0.9846,0.5634
[98_ 102_ 397_ 412_ 420_ 525_ 528_ 852_ 929],2.2936,BPSO with MLR,9,0.4041,0.6065,0.4343,1.3083,1.1033,0.493
[15_ 48_ 98_ 143_ 149_ 187_ 242_ 320_ 325_ 333_ 369_ 407_ 436_ 443_ 483_ 508_ 678_ 697_ 868],4.2444,BPSO with MLR,19,0.5533,0.6064,0.528,1.195,0.964,0.6056
[5_ 15_ 98_ 196_ 224_ 243_ 302_ 504_ 697],2.2626,BPSO with MLR,9,0.4428,0.6062,0.5249,1.1989,0.9483,0.6056
[52_ 105_ 149_ 180_ 227_ 228_ 350_ 390_ 491_ 869],2.4285,BPSO with MLR,10,0.4921,0.6062,0.4976,1.2329,0.9897,0.5775
[35_ 79_ 122_ 140_ 151_ 166_ 285_ 368_ 420_ 462_ 494_ 522_ 560],3.068,BPSO with MLR,13,0.4709,0.6061,0.4938,1.2375,1.0333,0.5352
