Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[315_ 329_ 377_ 388_ 397_ 416_ 907],1.9047,BPSO with SVM,7,0.4086,0.5404,0.4177,1.3274,1.0534,0.5915
[75_ 166_ 276_ 280_ 404_ 441_ 531_ 872_ 939_ 941],2.4538,BPSO with SVM,10,0.4984,0.5403,0.5403,1.1794,0.9389,0.5775
[117_ 152_ 317_ 347_ 360_ 394_ 396_ 437_ 446_ 501_ 531_ 696],2.9258,BPSO with SVM,12,0.4284,0.5401,0.4353,1.3071,1.067,0.5634
[155_ 159_ 169_ 237_ 326_ 377_ 392_ 416_ 467_ 523_ 530_ 907],2.9436,BPSO with SVM,12,0.406,0.5401,0.4224,1.322,1.0657,0.5634
[99_ 199_ 250_ 323_ 391_ 444_ 553_ 572_ 651_ 906],2.4685,BPSO with SVM,10,0.4809,0.5398,0.3764,1.3736,1.1474,0.4648
[4_ 141_ 222_ 432_ 435_ 496_ 504],1.878,BPSO with SVM,7,0.443,0.5397,0.4385,1.3034,1.0633,0.5634
[4_ 68_ 133_ 245_ 308_ 405_ 432_ 564_ 907],2.312,BPSO with SVM,9,0.4182,0.5387,0.4036,1.3433,1.0888,0.5352
[182_ 334_ 378_ 556_ 648_ 907],1.4375,BPSO with SVM,6,0.3577,0.5384,0.4008,1.3465,1.0586,0.5493
[35_ 47_ 124_ 174_ 231_ 238_ 337_ 350_ 391_ 394_ 445_ 564_ 816],3.117,BPSO with SVM,13,0.4504,0.5379,0.4165,1.3288,1.0744,0.507
[53_ 220_ 238_ 253_ 317_ 432_ 441_ 489_ 491],2.3605,BPSO with SVM,9,0.3558,0.5376,0.3406,1.4125,1.149,0.4789
[16_ 244_ 312_ 318_ 377_ 381_ 387_ 444_ 477_ 536_ 548_ 852],2.8916,BPSO with SVM,12,0.4722,0.5373,0.4679,1.2688,1.039,0.5493
[4_ 45_ 186_ 192_ 424_ 432_ 435_ 460_ 474_ 546_ 556],2.71,BPSO with SVM,11,0.4403,0.537,0.4368,1.3054,1.0669,0.5493
[88_ 194_ 253_ 378_ 448_ 491_ 558],1.8913,BPSO with SVM,7,0.4276,0.5369,0.4866,1.2464,1.0226,0.5211
[104_ 175_ 184_ 248_ 396_ 441_ 530_ 541_ 554_ 648],2.5715,BPSO with SVM,10,0.3516,0.5367,0.3326,1.421,1.1248,0.5211
[60_ 70_ 87_ 104_ 322_ 407_ 439_ 441_ 459_ 648],2.5221,BPSO with SVM,10,0.4157,0.5367,0.307,1.448,1.0938,0.5634
[149_ 179_ 213_ 249_ 256_ 276_ 283_ 317_ 543_ 872],2.4649,BPSO with SVM,10,0.4872,0.5362,0.5525,1.1636,0.9194,0.6901
[185_ 276_ 372_ 532_ 550_ 678_ 872],1.8587,BPSO with SVM,7,0.4696,0.5354,0.5187,1.2068,0.9546,0.6338
[54_ 104_ 141_ 218_ 378_ 418_ 464_ 465_ 486_ 496_ 555],2.7802,BPSO with SVM,11,0.3515,0.5347,0.4329,1.31,1.0454,0.5493
