Descriptor ID,Fitness,Algorithm,Dimention,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Accuracy
[43_ 65_ 75_ 98_ 107_ 255_ 283_ 340_ 373_ 410_ 421_ 459_ 566_ 872],3.2541,DE_BPSO with MLR,14,0.4969,0.6051,0.5316,1.1905,0.9359,0.5915
[83_ 118_ 165_ 178_ 366_ 421_ 446_ 549_ 695_ 870_ 907],2.6152,DE_BPSO with MLR,11,0.5164,0.605,0.5014,1.3816,1.0392,0.5352
[5_ 6_ 17_ 59_ 134_ 227_ 241_ 326_ 366_ 386_ 442_ 542_ 545_ 565_ 697_ 819],3.6528,DE_BPSO with MLR,16,0.5166,0.6049,0.5694,1.1415,0.9273,0.5915
[2_ 15_ 39_ 114_ 191_ 192_ 193_ 315_ 374_ 390_ 419_ 532_ 540_ 690_ 907],3.4032,DE_BPSO with MLR,15,0.5634,0.6049,0.4999,1.2301,1.0107,0.5775
[15_ 79_ 98_ 147_ 172_ 193_ 285_ 312_ 387_ 471],2.4956,DE_BPSO with MLR,10,0.4113,0.6049,0.4733,1.2624,1.0291,0.493
[61_ 73_ 227_ 277_ 349_ 397_ 515_ 556],2.0977,DE_BPSO with MLR,8,0.6038,0.6048,0.4036,1.3434,1.0795,0.5634
[0_ 43_ 77_ 83_ 100_ 123_ 201_ 421_ 469_ 473_ 502_ 548_ 550_ 557_ 649_ 695],3.7275,DE_BPSO with MLR,16,0.4293,0.6044,0.3975,1.3502,1.0978,0.4789
[15_ 54_ 105_ 149_ 392_ 408_ 429_ 510_ 552_ 816_ 880],2.6449,DE_BPSO with MLR,11,0.4819,0.6044,0.4847,1.2487,1.0227,0.5634
[1_ 97_ 98_ 100_ 149_ 360_ 379_ 413_ 481_ 484_ 522_ 525_ 541],3.0628,DE_BPSO with MLR,13,0.4782,0.6042,0.449,1.2912,1.0377,0.5493
[61_ 64_ 126_ 134_ 154_ 166_ 203_ 280_ 295_ 296_ 393_ 518],2.8359,DE_BPSO with MLR,12,0.5012,0.6041,0.5247,1.1992,0.9991,0.5775
[127_ 140_ 192_ 223_ 235_ 240_ 376_ 379_ 407_ 409_ 698_ 939],2.9359,DE_BPSO with MLR,12,0.6732,0.604,0.5984,1.3466,1.0509,0.5352
[2_ 36_ 157_ 159_ 162_ 196_ 263_ 280_ 295_ 326_ 366_ 373_ 418_ 530_ 532_ 679],3.7157,DE_BPSO with MLR,16,0.4437,0.6039,0.5168,1.2091,0.9334,0.6056
[58_ 61_ 76_ 116_ 117_ 219_ 231_ 275_ 424_ 437_ 438_ 478_ 541_ 869_ 939],3.4869,DE_BPSO with MLR,15,0.4683,0.6038,0.5703,1.1402,0.8982,0.6056
[71_ 98_ 157_ 195_ 271_ 275_ 296_ 523_ 525],2.2548,DE_BPSO with MLR,9,0.4536,0.6038,0.5212,1.3499,1.0448,0.6197
[16_ 48_ 73_ 79_ 122_ 242_ 253_ 320_ 341_ 401_ 422_ 444_ 536],3.051,DE_BPSO with MLR,13,0.4924,0.6035,0.5072,1.2211,1.0057,0.5634
[0_ 15_ 48_ 87_ 407_ 441_ 493],1.8589,DE_BPSO with MLR,7,0.5235,0.6035,0.5116,1.2156,1.0065,0.5775
[36_ 58_ 97_ 100_ 147_ 176_ 203_ 245_ 260_ 270_ 359_ 494_ 525_ 545_ 700],3.4501,DE_BPSO with MLR,15,0.5115,0.6033,0.6732,0.9943,0.8094,0.662
[107_ 157_ 381_ 400_ 403_ 544_ 555_ 869],2.0587,DE_BPSO with MLR,8,0.6521,0.6033,0.4242,1.3199,1.0743,0.5493
[15_ 75_ 192_ 283_ 291_ 355_ 469_ 525],1.9767,DE_BPSO with MLR,8,0.53,0.6191,0.5282,1.1948,0.9674,0.5775
