Descriptor ID,Fitness,Algorithm,Dimention,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Accuracy
[0_ 89_ 117_ 154_ 166_ 230_ 241_ 250_ 254_ 277_ 393_ 436_ 467_ 535],3.273,DE_BPSO with ANN,14,0.474,0.6061,0.4952,1.2359,0.9952,0.5775
[53_ 116_ 140_ 161_ 169_ 173_ 179_ 192_ 267_ 296_ 310_ 416_ 431_ 434_ 453_ 871],3.6063,DE_BPSO with ANN,16,0.5682,0.6055,0.5003,1.2296,0.9613,0.5775
[58_ 98_ 184_ 204_ 536_ 696],1.3362,DE_BPSO with ANN,6,0.4516,0.6051,0.5629,1.15,0.9497,0.6056
[34_ 61_ 155_ 168_ 217_ 368_ 518_ 522_ 676],2.2224,DE_BPSO with ANN,9,0.492,0.6048,0.496,1.2348,1.0047,0.6338
[54_ 81_ 89_ 96_ 283_ 393_ 429_ 552_ 574],2.3028,DE_BPSO with ANN,9,0.3935,0.6046,0.4826,1.2512,0.9723,0.6197
[16_ 87_ 400_ 536_ 540_ 550_ 565],1.815,DE_BPSO with ANN,7,0.4855,0.6045,0.5069,1.2214,0.9892,0.5915
[5_ 15_ 86_ 128_ 184_ 402_ 432_ 438_ 457_ 516_ 557_ 680],2.8562,DE_BPSO with ANN,12,0.4773,0.604,0.6169,1.0766,0.8582,0.662
[58_ 103_ 141_ 215_ 317_ 397_ 408_ 419_ 492_ 523_ 865_ 939],2.8581,DE_BPSO with ANN,12,0.4751,0.6039,0.5321,1.1899,0.968,0.5493
[17_ 41_ 46_ 105_ 106_ 118_ 173_ 184_ 215_ 234_ 294_ 375_ 455_ 516_ 524_ 558_ 819_ 871_ 940],4.3264,DE_BPSO with ANN,19,0.4623,0.6035,0.5626,1.1504,0.906,0.6479
[179_ 241_ 407_ 421_ 523_ 872],1.3915,DE_BPSO with ANN,6,0.3831,0.6032,0.3862,1.3628,1.1028,0.5493
[5_ 96_ 100_ 101_ 205_ 252_ 276_ 277_ 328_ 439_ 488_ 502],2.8379,DE_BPSO with ANN,12,0.4996,0.6028,0.5449,1.1735,0.9252,0.662
[15_ 103_ 128_ 133_ 134_ 179_ 189_ 229_ 391_ 438_ 472_ 555_ 556_ 852_ 940],3.5386,DE_BPSO with ANN,15,0.4066,0.6027,0.5027,1.2266,1.0006,0.507
[75_ 82_ 94_ 154_ 200_ 212_ 236_ 242_ 330_ 367_ 378_ 472_ 681],3.1093,DE_BPSO with ANN,13,0.4231,0.6026,0.3616,1.3899,1.118,0.4366
[57_ 148_ 161_ 242_ 403_ 502_ 536_ 631_ 648_ 816_ 870],2.6803,DE_BPSO with ANN,11,0.4405,0.6023,0.4065,1.34,1.0839,0.507
[178_ 184_ 212_ 285_ 287_ 418_ 488_ 907],2.05,DE_BPSO with ANN,8,0.452,0.6023,0.4722,1.2638,1.0394,0.4789
[64_ 106_ 117_ 141_ 195_ 220_ 289_ 421_ 443_ 448_ 461_ 466_ 503_ 563],3.321,DE_BPSO with ANN,14,0.4185,0.6022,0.479,1.2555,0.9919,0.5915
[58_ 74_ 194_ 312_ 355_ 361_ 436_ 488_ 930],2.2403,DE_BPSO with ANN,9,0.4722,0.602,0.6131,1.082,0.9079,0.6056
[54_ 126_ 135_ 175_ 184_ 288_ 816],1.8928,DE_BPSO with ANN,7,0.3904,0.6019,0.4877,1.245,0.9744,0.6197
[5_ 184_ 202_ 223_ 291_ 297_ 444_ 512_ 698],2.2544,DE_BPSO with ANN,9,0.4553,0.6016,0.4638,1.2738,1.0297,0.5634
[16_ 33_ 117_ 130_ 147_ 149_ 174_ 202_ 321_ 356_ 364_ 440_ 474_ 536],3.232,DE_BPSO with ANN,14,0.5245,0.6013,0.535,1.1862,0.9504,0.6197
[15_ 50_ 187_ 192_ 239_ 254_ 260_ 309_ 373_ 444_ 494_ 549_ 938],3.0773,DE_BPSO with ANN,13,0.4626,0.6013,0.5196,1.2057,0.9802,0.5775
[4_ 54_ 68_ 139_ 154_ 244_ 294_ 357_ 372_ 379_ 409_ 445_ 469_ 472_ 488_ 572_ 872],3.9214,DE_BPSO with ANN,17,0.4488,0.6011,0.5198,1.2054,0.9459,0.6056
